Index,Room Number,Room Name,Room Unique ID,Polygon Points,Touching Wall Unique IDs,Area,Centroid,Level,Degree Centrality,Closeness Centrality,Betweenness Centrality,PageRank,Clustering,Core Number,Program Amplifier,Initial Circulation Index,Circulation Index,Occupancy,Isovist Area,Perimeter,Compactness,Circularity,Convex Deficiency,Occlusivity,Skewness,Dispersion,Elongation,Incident Radiation,Sunlight Hours,Daylight Factor,Standard Effective Temperature,Predicted Mean Vote,Comfort Acceptance,Subject Condition
0,HP1000A,VESTIBULE,363b0869-408a-48a6-bd1a-c1220b2aa530-003e369c,"[(5756.5714651352646, 1480.7582300971567), (5756.5714651352646, 1460.4457300574666), (5756.4881318019306, 1460.3415634304904), (5756.4881318019306, 1458.5707300971569), (5766.7236317461466, 1458.5707300971569), (5767.0506317461468, 1458.5707300971569), (5767.0506317461468, 1460.0290634275709), (5767.0506317461468, 1482.2020634304902), (5767.0506317461468, 1482.5290634304902), (5756.5714651352646, 1482.5290634304902)]","['06cf8cb0-87a0-4bce-8aa4-9d785155df0c-0143ae70', 'dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7b81', 'dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7b81', 'dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7b30', 'dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7b30', 'dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7b30', 'dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7af2']",251.2152764,"(5761.8078551047056, 1470.5432042755886)",1,0.003194888,0.010891664,0,0.001136452,1,2,5,0.303044601,0.303044601,83,31.745618,333.570024,0.003585,0.972443,0.019921,214.876251,113522.6703,-452.690622,0.089563,69.472224,412.071429,1.277468,28.276357,-1.06052,0.085046,-0.167237
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,"[(5836.258321216993, 1564.5915634304895), (5833.0350068019261, 1564.5915634304895), (5833.0350068019261, 1564.8027416742254), (5826.1183401352591, 1564.8027416742254), (5826.1183401352591, 1564.7610750075587), (5820.1183401352591, 1564.7610750075587), (5820.1183401352591, 1564.8027416742254), (5813.2016734685922, 1564.8027416742254), (5813.2016734685922, 1564.7610750075587), (5807.915215135261, 1564.7610750075587), (5807.915215135261, 1546.9665634297842), (5814.8318818562984, 1546.9665634297842), (5817.7485485229654, 1546.9665634297842), (5818.0506318562984, 1546.9665634304895), (5818.0558656890935, 1546.9665634304895), (5818.5141735229718, 1546.9665634304895), (5818.5141735229718, 1546.5603134304895), (5818.0506318562984, 1546.5603134304895), (5818.0506318562984, 1543.5394800964511), (5818.0506318562984, 1535.8571884024793), (5818.0506318562984, 1533.9665634304897), (5818.0506318562984, 1510.1332300691461), (5818.0506318562984, 1508.2426050691463), (5818.0506318562984, 1500.5603134304904), (5818.0506318562984, 1497.5394800971569), (5818.5141735229718, 1497.5394800971569), (5818.5141735229718, 1497.1332300971569), (5818.0558656890935, 1497.1332300971569), (5818.0506318562984, 1497.1332300971569), (5817.7485485229654, 1497.1332300971571), (5814.8318818562975, 1497.1332300971571), (5807.915215135261, 1497.1332300971571), (5807.915215135261, 1482.6540634304899), (5807.915215135261, 1478.0238553422839), (5811.7538575111785, 1478.0238553422835), (5811.7538575111785, 1477.8780220089507), (5811.7955241778445, 1477.8780220089507), (5811.7955241778445, 1477.9821886756167), (5819.9282359685958, 1477.9821886756165), (5819.9282359685958, 1478.0394803422826), (5828.9438609685985, 1478.0394803422826), (5828.9438609685985, 1477.3832303422832), (5834.9245638842831, 1477.3832303422832)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5', 'fa55ca66-8fca-4eec-8c2c-49c6c94067d0-013c8bab', 'fa55ca66-8fca-4eec-8c2c-49c6c94067d0-013c82a6', 'fa55ca66-8fca-4eec-8c2c-49c6c94067d0-013c8ced', 'fa55ca66-8fca-4eec-8c2c-49c6c94067d0-013c8561', 'bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfba', '77ae5268-a957-483b-a1ee-2062ba5e5aa4-00e496a4', '77ae5268-a957-483b-a1ee-2062ba5e5aa4-00e496a4', 'bdd63a82-4326-49a1-b0fc-6c1e425e6916-0155698c', 'bdd63a82-4326-49a1-b0fc-6c1e425e6916-0155698c', 'bdd63a82-4326-49a1-b0fc-6c1e425e6916-0155698c', '376f43b0-64f8-4683-ba8d-a50c145e5280-00989b2a', '376f43b0-64f8-4683-ba8d-a50c145e5280-00989b2a', 'a1031554-a74d-41cb-a216-62fc86a34c5f-0117e8ee', 'a1031554-a74d-41cb-a216-62fc86a34c5f-0117e8ee', 'a1031554-a74d-41cb-a216-62fc86a34c5f-0117e8ee', '5ed42088-aefe-4a48-82b1-a33d18853d71-00c38fe9', '5ed42088-aefe-4a48-82b1-a33d18853d71-00c38fe9', 'bdd63a82-4326-49a1-b0fc-6c1e425e6916-015566c1', 'bdd63a82-4326-49a1-b0fc-6c1e425e6916-015566c1', 'bdd63a82-4326-49a1-b0fc-6c1e425e6916-015566c1', '77ae5268-a957-483b-a1ee-2062ba5e5aa4-00e496a5', '77ae5268-a957-483b-a1ee-2062ba5e5aa4-00e496a5', 'e2b1666c-928c-4f3a-832e-7eda99205d2a-012d09bc', 'e2b1666c-928c-4f3a-832e-7eda99205d2a-012d09bc', '2b7a75a3-e2dd-4f7c-ba88-82eaddf2a7fd-01611bf8', 'a34c1740-88db-4259-9c1b-07c6e14cfbd1-01693af6', '2b7a75a3-e2dd-4f7c-ba88-82eaddf2a7fd-01611bdd', 'a34c1740-88db-4259-9c1b-07c6e14cfbd1-01693ac3']",1899.70651,"(5824.1090753787958, 1521.5631950461004)",1,0.011182109,0.023568847,0.000714121,0.002692645,0.333333333,3,5,0.340964878,0.511447317,759,188.807446,72.649844,0.449531,0.746138,0.758254,22.140259,21199.10063,-1215.100566,0.463468,0,0,0,28.1574844,-1.164930008,0.08622466,-0.179558263
2,HP1011,JAN,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e67,"[(5814.4672984685922, 1577.6332300691381), (5814.4672984685922, 1578.5603134304974), (5807.665215135261, 1578.5603134304974), (5807.665215135261, 1577.0238550971656), (5807.665215135261, 1573.2894800691381), (5814.4672984685913, 1573.2894800691381), (5814.4672984685913, 1574.4769800691381), (5814.4672984685922, 1574.6280217638309), (5814.4672984685922, 1574.6592972352664), (5814.4672984685922, 1575.4665634024716)]","['a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad1f1b', 'ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75270', '38003318-ed37-49df-8cec-8071e099fd5d-00dde5df', '38003318-ed37-49df-8cec-8071e099fd5d-00dde5df', '38003318-ed37-49df-8cec-8071e099fd5d-00dde5c4', '0bab81fd-76b9-454b-84c1-6d33eb4ed040-011f557c', '0bab81fd-76b9-454b-84c1-6d33eb4ed040-011f557c', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad1f1b', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad1f1b', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad1f1b']",35.85264776,"(5811.0662568584721, 1575.9248967652047)",1,0.003194888,0.01562717,9.35E-05,0.001047896,0,2,0,0.203992691,0.203992691,11,3.330695,7.344941,0.775833,0.95553,1,0.089675,-1.599469,-60.411242,0.686421,0,0,0,28.211082,-1.138652,0.085274,-0.17363
3,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,"[(5832.5303070795526, 1592.7061467638309), (5821.1133126848017, 1592.7061467638309), (5821.1133126848017, 1582.2061467638314), (5826.3320626848008, 1582.2061467638314), (5826.3320626848008, 1581.6019800971649), (5821.0716460181347, 1581.6019800971649), (5820.8528960181347, 1581.6019800971649), (5820.1029962749963, 1581.6019800971649), (5820.1029962749963, 1573.2894800691381), (5832.9466460181338, 1573.2894800691381), (5832.9466460181338, 1580.1748967638323), (5830.7644989894288, 1580.1748967638323), (5830.7644989894288, 1589.987393193843), (5832.5303070795526, 1589.987393193843)]","['c8c59508-fbc4-421f-8f17-658645ecbfc6-00a8cae9', 'e3097710-aac9-4bc7-b3a7-687dd466d128-01546d0d', '4ce468dd-ac71-4a55-95f2-5bb1fd8d8b69-00ddd3be', '4ce468dd-ac71-4a55-95f2-5bb1fd8d8b69-00ddd3be', '4ce468dd-ac71-4a55-95f2-5bb1fd8d8b69-00ddd3be', '4ce468dd-ac71-4a55-95f2-5bb1fd8d8b69-00ddd3be', 'ac47927b-25d7-4ecc-b619-cd311f6186b9-00ca64a6', '90e15160-c3b7-4a14-a1ad-21234505fbd5-01038948', '38003318-ed37-49df-8cec-8071e099fd5d-00dde378', 'ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad0452', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad045b', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad045a']",212.4649167,"(5826.3084817528161, 1582.5401447183833)",1,0.006389776,0.01423465,0,0.001625748,1,4,1,0.504450035,0.554895038,35,11.497497,17.538522,0.469707,0.689655,0.735673,5.086212,63.42034,-314.803224,0.443728,0,0,0,28.506602,-0.871849,0.088128,-0.142694
4,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,"[(5853.3527151097287, 1574.5082300971646), (5853.3527151097287, 1581.3936467638318), (5852.0092906560985, 1581.3936467638318), (5851.7589651352655, 1581.3936467638318), (5846.7485484685985, 1581.3936467638318), (5846.7485484685985, 1581.7998967638318), (5851.7172984685985, 1581.7998967638318), (5851.7172984685985, 1592.7061467638309), (5840.2174408993051, 1592.7061467638309), (5840.2174408993051, 1589.987393193843), (5841.9572073227628, 1589.987393193843), (5841.9572073227628, 1580.1748967638323), (5840.7591460181338, 1580.1748967638323), (5840.7591460181338, 1574.5082300971646)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c98f', '4ce468dd-ac71-4a55-95f2-5bb1fd8d8b69-00ddcc1e', '4ce468dd-ac71-4a55-95f2-5bb1fd8d8b69-00ddcc1e', '4ce468dd-ac71-4a55-95f2-5bb1fd8d8b69-00ddcc1e', '4ce468dd-ac71-4a55-95f2-5bb1fd8d8b69-00ddcc1e', 'abbb3741-9284-4b5e-9bbf-19081c56e031-00c0cf8e', '4ce468dd-ac71-4a55-95f2-5bb1fd8d8b69-00ddca8b', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00acffa4', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00acfff9', '72771886-817c-4a66-98b0-a981f3067322-00aaaa1f', 'ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287', '38003318-ed37-49df-8cec-8071e099fd5d-00dde2a7', '90e15160-c3b7-4a14-a1ad-21234505fbd5-0103889a']",198.3743059,"(5846.8116913037475, 1583.2766847669034)",1,0.006389776,0.01423465,0,0.001625748,1,4,1,0.504450035,0.554895038,33,12.893202,17.527916,0.527364,0.840567,0.79419,3.890009,54.717824,-244.359295,0.519894,0,0,0,29.450333,-0.262603,0.101712,-0.044406
5,HP1013A,SHOWER,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,"[(5841.5509573227628, 1580.5811467638323), (5841.5509573227628, 1589.581143193843), (5839.7278575659711, 1589.581143193843), (5839.7278575659711, 1592.6228134304972), (5836.644524232639, 1592.6228134304972), (5836.644524232639, 1589.581143193843), (5836.5870901352591, 1589.581143193843), (5836.5870901352591, 1580.5811467638323), (5840.5560210181338, 1580.5811467638323)]","['72771886-817c-4a66-98b0-a981f3067322-00aaaa1f', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00acfff9', '2eb80f70-06a0-495e-8f0b-90de3740f1ff-00bf6d76', '2eb80f70-06a0-495e-8f0b-90de3740f1ff-00bf6d99', '2eb80f70-06a0-495e-8f0b-90de3740f1ff-00bf6d4e', 'a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00acfeb2', 'ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287', 'ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287']",54.05327019,"(5838.9158484905929, 1586.125786441547)",1,0.006389776,0.01423465,0,0.001625748,1,4,0,0.504450035,0.504450035,18,5.019142,10.283381,0.596441,0.870505,0.952667,0.338431,17.326606,-141.835555,0.567136,0,0,0,29.178967,-0.415615,0.096233,-0.07089
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,"[(5865.8891734430617, 1565.9248967638227), (5874.6443818019252, 1565.9248967638227), (5874.6443818019252, 1565.2998967638225), (5875.9777151097296, 1565.2998967638225), (5875.9777151097296, 1561.1332300691461), (5877.2172984685913, 1561.1332300691461), (5877.2172984685913, 1558.9665634024796), (5875.9777151097296, 1558.9665634024796), (5875.9777151097296, 1551.3183666742239), (5863.8579234430636, 1551.3183666742239), (5863.8579234430636, 1546.5683666742241), (5875.9777151097296, 1546.5683666742241), (5875.9777151097296, 1536.4665634304895), (5877.2172984685922, 1536.4665634304895), (5877.2172984685922, 1533.633230097156), (5875.9777151097296, 1533.633230097156), (5875.9777151097296, 1521.8808666742236), (5875.9777151097296, 1521.5214661747621), (5875.9777151097296, 1518.5683666742236), (5875.9777151097296, 1510.633230097156), (5877.7172984685922, 1510.633230097156), (5877.7172984685922, 1507.4665634304895), (5875.9777151097296, 1507.4665634304895), (5875.9777151097296, 1503.5579500075571), (5852.3006317763957, 1503.5579500075571), (5852.3006317763957, 1478.3832303422826), (5854.3865693019261, 1478.3832303422826), (5854.3865693019261, 1478.0394803422823), (5863.4021943019261, 1478.0394803422823), (5863.4021943019261, 1478.3832303422826), (5868.133965135261, 1478.3832303422826), (5868.133965135261, 1436.4457301055438), (5913.1235484685913, 1436.4457301055438), (5913.1235484685913, 1420.7061469026555), (5924.4985484686022, 1420.7061469026555), (5924.4985484686022, 1442.2790634388775), (5924.4985484686022, 1442.6019800574659), (5924.4985484686022, 1442.7810634388775), (5924.4985484686022, 1476.0342462727488), (5924.4985484686022, 1476.0394801055438), (5924.4881318019352, 1476.3415634388771), (5924.4881318019252, 1489.31031341881), (5924.4881318019252, 1506.6436467521416), (5928.6349418100872, 1506.6436467521419), (5950.8422985809202, 1506.6436467521419), (5961.9777152475872, 1506.6436467521419), (5961.9777152475872, 1541.1801050714712), (5961.9777152475872, 1556.1801050714712), (5961.9777152475872, 1559.7998967638227), (5961.9777152475872, 1560.7998967638225), (5961.9777152475872, 1596.5603134304895), (5959.1756319142551, 1596.5603134304895), (5959.1756319142551, 1596.0708941274704), (5957.8370647481261, 1596.0708941274704), (5932.7381318019261, 1596.0708941274704), (5928.6339651352582, 1596.0708941274704), (5928.154798580922, 1596.0708941274704), (5928.1339651352591, 1596.4667274608039), (5914.6131318019252, 1596.4667274608039), (5914.6131318019252, 1609.9665634304895), (5913.0506318019252, 1609.9665634304895), (5913.0506318019261, 1612.1332300971558), (5913.0506318019261, 1612.9248967638221), (5899.2172984685931, 1612.9248967638221), (5899.2172984685931, 1610.4561467637063), (5893.8839651352591, 1610.4561467637063), (5893.8839651352591, 1612.9248967638221), (5883.7381318019261, 1612.9248967638223), (5883.7381318019261, 1602.5915633743443), (5886.2387411648133, 1602.5915633743443), (5886.2387411648133, 1597.7582300410108), (5883.7381318019261, 1597.7582300410108), (5883.7381318019261, 1593.466563374461), (5873.9985484686003, 1593.466563374461), (5873.9985484686003, 1593.4613295416661), (5873.9985484686003, 1585.049896763823), (5873.9985484686003, 1577.6384638739232), (5873.9985484686003, 1576.6332300411282), (5873.5558146358053, 1576.6332300411282), (5867.5766734685922, 1576.6332300411282), (5867.5766734685922, 1571.0319083408908), (5865.8891734430617, 1571.0319083408908)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5', '5924e393-23cd-4dc4-8af6-27d1d15f2ed2-0167d4b6', 'a464efa7-7cb8-4bcf-8950-765a1b688e69-013d9434', 'a464efa7-7cb8-4bcf-8950-765a1b688e69-013d9434', 'e94c07fd-f379-43dc-a38b-22375bac560c-0166b38d', 'a464efa7-7cb8-4bcf-8950-765a1b688e69-013d939c', 'a464efa7-7cb8-4bcf-8950-765a1b688e69-013d9421', '64b23b31-573d-4279-b518-a7bcff86efda-016cd1a5', '64b23b31-573d-4279-b518-a7bcff86efda-016cd1a5', '64b23b31-573d-4279-b518-a7bcff86efda-016cd1b9', '64b23b31-573d-4279-b518-a7bcff86efda-016cd1b9', 'a5c07732-b2a9-4068-9b1e-9376de097cce-007f8fc2', 'a5c07732-b2a9-4068-9b1e-9376de097cce-007f8fc2', '02c5347d-e9ac-4767-95cd-97e2f19418eb-00c7de0a', 'd668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2', '3d9ae657-a87c-4103-b2c7-eeb7ec4178f7-0167d813', 'a34c1740-88db-4259-9c1b-07c6e14cfbd1-01693ad7', '3d9ae657-a87c-4103-b2c7-eeb7ec4178f7-0167d813', '7e73f992-f197-4acc-80ef-4d83049984b2-0143b8b2', '4476c7da-e58a-4fbb-9c50-f0affae34a83-0140154a', 'f322f0f7-0cc2-471c-bf48-b982c4fcadeb-0140479c', 'f322f0f7-0cc2-471c-bf48-b982c4fcadeb-0140472d', 'e0feff97-b12f-46e2-922d-cf3e3980248f-0107733f', 'e0feff97-b12f-46e2-922d-cf3e3980248f-01077379', 'e0feff97-b12f-46e2-922d-cf3e3980248f-01077379', 'e0feff97-b12f-46e2-922d-cf3e3980248f-01077379', '961b2e1b-29c8-4dac-bd4f-a6ca4313a9bd-00d1211c', '6dffb59e-f495-4819-a59b-124edf4023c9-0075e3d7', 'af16bf47-71b4-45b9-a91a-e32e7f405024-00aad860', '470d7d4b-ede5-4327-9478-12c9346ba111-009a26b1', '470d7d4b-ede5-4327-9478-12c9346ba111-009a26b1', '2b47f844-699d-4189-905d-4426a81a7ec7-01403a2a', '2b47f844-699d-4189-905d-4426a81a7ec7-01403a2a', '2b47f844-699d-4189-905d-4426a81a7ec7-01403a2a', '2b47f844-699d-4189-905d-4426a81a7ec7-01403a2a', '2b47f844-699d-4189-905d-4426a81a7ec7-014039f1', '2b47f844-699d-4189-905d-4426a81a7ec7-014039b3', '8d9f44b4-fa22-49a6-a833-50d961a47ce0-0112b0f7', 'e4ff15b1-0f15-4cb9-a744-cf23617afa38-00c45959', 'e4ff15b1-0f15-4cb9-a744-cf23617afa38-00c45959', 'e4ff15b1-0f15-4cb9-a744-cf23617afa38-00c45959', 'e4ff15b1-0f15-4cb9-a744-cf23617afa38-00c45959', '7c115f3e-3a32-4619-bab5-20cd91fb6b9b-00f53381', '7c115f3e-3a32-4619-bab5-20cd91fb6b9b-00f53349', '3d796f65-c66e-4765-a432-b9a61bfed234-015c3223', '73c56a22-252d-474a-99f6-5ae453af18fc-00b7e8e2', '605e3eb1-09e4-4b44-8c51-fae25eee510a-0175ec54', '605e3eb1-09e4-4b44-8c51-fae25eee510a-0175ec9b', '605e3eb1-09e4-4b44-8c51-fae25eee510a-0175ecae', '73c56a22-252d-474a-99f6-5ae453af18fc-00b7e8e2', 'fa06c13e-278e-4974-9bc1-2a005f0231a1-00760d97', '605e3eb1-09e4-4b44-8c51-fae25eee510a-0175eee7', '605e3eb1-09e4-4b44-8c51-fae25eee510a-0175ef02', '605e3eb1-09e4-4b44-8c51-fae25eee510a-0175ef13', 'fa06c13e-278e-4974-9bc1-2a005f0231a1-00760d97', '099164c1-0927-4d89-afe9-5997aff40795-01082dda', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c98a', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c98a', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c98a', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c98a', 'bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1668', 'bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1668', '6ac51745-4e2d-439b-94ab-1baf0cb41956-0165b67e', '6ac51745-4e2d-439b-94ab-1baf0cb41956-0165b67e', '4f2061a1-8411-4e0e-beb2-4d4600fa99a1-013e5609', '4f2061a1-8411-4e0e-beb2-4d4600fa99a1-013e5609']",12859.23533,"(5908.9141320716935, 1525.5146904205026)",1,0.023961661,0.026139994,0.001157061,0.00572061,0.161904762,4,0,0.427586341,0.427586341,4286,30.80619,24.31532,0.654769,0.942353,0.895946,2.105043,-37.656599,-234.614235,0.696333,0,0,0,30.23493889,0.106923297,0.119545231,0.029504424
7,HP1005,SERVICE AREAWAY,4ba18549-9c74-4ef6-8f75-163bdfda2351-004ab65b,"[(5986.1339650876262, 1559.7998967638225), (5963.7277152475872, 1559.7998967638227), (5963.7277152475872, 1556.1801050714712), (5963.3110485809211, 1556.1801050714712), (5963.3110485809211, 1541.1801050714712), (5963.7277152475872, 1541.1801050714712), (5963.7277152475872, 1504.5603134304895), (5986.1339650876262, 1504.5603134304895)]","['d5edd12b-faa9-47e6-b610-fe8d8ddd5bc0-010838cf', '7559e7a2-d4c3-457a-9b10-2134d817e1c2-014e22e5', '2b47f844-699d-4189-905d-4426a81a7ec7-01403a2a', '7559e7a2-d4c3-457a-9b10-2134d817e1c2-014e22e5', 'd5edd12b-faa9-47e6-b610-fe8d8ddd5bc0-01083ac1', 'd5edd12b-faa9-47e6-b610-fe8d8ddd5bc0-01083937']",1243.961905,"(5974.8735059264809, 1532.2630055461073)",1,0.003194888,0.017532923,6.65E-05,0.001041591,0,2,0,0.20436718,0.20436718,414,3.330695,7.344941,0.775833,0.95553,1,0.089675,-1.599469,-60.411242,0.686421,0,0,0,30.23493884,0.106923278,0.119544892,0.029504405
8,HP1014,MACH RM,4ba18549-9c74-4ef6-8f75-163bdfda2351-004ab8ce,"[(5861.7277151352664, 1585.5478742143564), (5861.7277151352664, 1593.2998967077945), (5853.8634573227655, 1593.2998967077945), (5853.8634573227655, 1585.5478742143564), (5861.6652151352664, 1585.5478742143564)]","['bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1537', '771063b2-77fd-4848-92d2-5f3f34cc1c5c-011e5cb7', '771063b2-77fd-4848-92d2-5f3f34cc1c5c-011e5b71', '02c5347d-e9ac-4767-95cd-97e2f19418eb-00c7dd3c', '02c5347d-e9ac-4767-95cd-97e2f19418eb-00c7dd3c']",60.96390346,"(5857.7955862814833, 1589.42388547528)",1,0.004792332,0.016337496,4.98E-05,0.001303353,0.333333333,3,0,0.33782993,0.33782993,20,19.190736,18.894446,0.675512,0.962749,0.98944,1.592533,-5.308563,-146.527269,0.722376,0,0,0,30.23493884,0.106923278,0.119544892,0.029504405
9,HP1000,BUILDING LOBBY,01dcde21-cacf-4769-a509-88c3cf060c87-004ac566,"[(5778.7172984685913, 1482.6540634304902), (5778.7172984685913, 1481.9665633908), (5776.5506318019252, 1481.9665633908), (5776.5506318019252, 1482.6540634304902), (5767.0506317461468, 1482.6540634304902), (5767.0506317461468, 1460.0290634275709), (5767.1756317461468, 1460.0290634275709), (5767.1756317461468, 1458.1187300971569), (5767.1756317461468, 1444.0498967241331), (5794.6339651352591, 1444.0498967241329), (5794.6339651352591, 1482.6540634304899), (5787.1547984685949, 1482.6540634304899), (5778.7225068291154, 1482.6540634304902)]","['dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7b30', '2b7a75a3-e2dd-4f7c-ba88-82eaddf2a7fd-0160d76e']",1061.344621,"(5780.8726388707682, 1463.3466618418204)",1,0.004792332,0.013824035,7.16E-05,0.001558046,0.666666667,2,5,0.270715869,0.270715869,353,681.621242,386.292382,0.057401,0.759229,0.350721,182.335156,204417.3821,-2102.024299,0.366704,107.726705,683.184896,0,30.615687,0.253876,0.118493,0.061416
